symbol,source_kind,local_preflight_status,begin_probe_status,end_probe_status,bulk_acquisition_ran,request_count,records_received,final_endpoint_status
BTCUSDT,15m,BYTE_VALIDATED,HTTP_200,HTTP_200,YES,38,35044,SUCCESS
BTCUSDT,funding,BYTE_VALIDATED,HTTP_200,HTTP_200,YES,8,1099,SUCCESS
BTCUSDT,oi,BYTE_VALIDATED,HTTP_200,HTTP_200,YES,178,35044,SUCCESS
ETHUSDT,15m,BYTE_VALIDATED,HTTP_200,HTTP_200,YES,38,35044,SUCCESS
ETHUSDT,funding,BYTE_VALIDATED,HTTP_200,HTTP_200,YES,8,1099,SUCCESS
ETHUSDT,oi,BYTE_VALIDATED,HTTP_200,HTTP_200,YES,178,35044,SUCCESS
SOLUSDT,15m,BYTE_VALIDATED,HTTP_200,HTTP_200,YES,38,35044,SUCCESS
SOLUSDT,funding,BYTE_VALIDATED,HTTP_200,HTTP_200,YES,8,1099,SUCCESS
SOLUSDT,oi,BYTE_VALIDATED,HTTP_200,HTTP_200,YES,178,35044,SUCCESS
XRPUSDT,15m,BYTE_VALIDATED,HTTP_200,HTTP_200,YES,38,35044,SUCCESS
XRPUSDT,funding,BYTE_VALIDATED,HTTP_200,HTTP_200,YES,8,1099,SUCCESS
XRPUSDT,oi,BYTE_VALIDATED,HTTP_200,HTTP_200,YES,178,35044,SUCCESS
