timeframe,model,backbone_state,fast_phase,bar_count,bar_fraction_within_backbone,episode_count,mean_dwell,median_dwell,p75_dwell,p90_dwell,max_dwell
1H,BACKBONE_A,ACTIVE,EXPANDING,5563,0.4511759935117599,368,15.116847826086957,11.0,22.0,34.30000000000001,69
1H,BACKBONE_A,ACTIVE,CONTRACTING,1793,0.1454176804541768,508,3.529527559055118,2.0,4.0,8.0,31
1H,BACKBONE_A,ACTIVE,OPPOSING,3873,0.3141119221411192,341,11.357771260997067,9.0,17.0,24.0,61
1H,BACKBONE_A,ACTIVE,NEUTRAL,1101,0.08929440389294403,548,2.009124087591241,1.0,2.0,4.0,12
1H,BACKBONE_A,ACTIVE,TRANSITION,0,0.0,0,,,,,0
1H,BACKBONE_A,FLATTENING,EXPANDING,107,0.5023474178403756,39,2.7435897435897436,2.0,4.0,6.0,12
1H,BACKBONE_A,FLATTENING,CONTRACTING,5,0.023474178403755867,3,1.6666666666666667,1.0,2.0,2.6,3
1H,BACKBONE_A,FLATTENING,OPPOSING,84,0.39436619718309857,36,2.3333333333333335,2.0,3.0,4.0,9
1H,BACKBONE_A,FLATTENING,NEUTRAL,17,0.07981220657276995,12,1.4166666666666667,1.0,2.0,2.0,3
1H,BACKBONE_A,FLATTENING,TRANSITION,0,0.0,0,,,,,0
1H,BACKBONE_A,LOST,EXPANDING,172,0.6187050359712231,25,6.88,5.0,9.0,11.0,31
1H,BACKBONE_A,LOST,CONTRACTING,1,0.0035971223021582736,1,1.0,1.0,1.0,1.0,1
1H,BACKBONE_A,LOST,OPPOSING,77,0.27697841726618705,23,3.347826086956522,3.0,4.0,7.800000000000001,11
1H,BACKBONE_A,LOST,NEUTRAL,28,0.10071942446043165,8,3.5,4.0,5.0,5.0,5
1H,BACKBONE_A,LOST,TRANSITION,0,0.0,0,,,,,0
1H,BACKBONE_B,ACTIVE,EXPANDING,4707,0.4477739726027397,331,14.220543806646525,11.0,19.5,33.0,67
1H,BACKBONE_B,ACTIVE,CONTRACTING,1780,0.1693302891933029,496,3.588709677419355,2.0,4.0,8.0,31
1H,BACKBONE_B,ACTIVE,OPPOSING,3010,0.2863394216133942,308,9.772727272727273,7.0,15.0,22.0,49
1H,BACKBONE_B,ACTIVE,NEUTRAL,1015,0.09655631659056317,496,2.0463709677419355,1.0,2.0,4.0,12
1H,BACKBONE_B,ACTIVE,TRANSITION,0,0.0,0,,,,,0
1H,BACKBONE_B,FLATTENING,EXPANDING,953,0.47507477567298106,132,7.21969696969697,7.0,10.0,11.900000000000006,16
1H,BACKBONE_B,FLATTENING,CONTRACTING,18,0.00897308075772682,16,1.125,1.0,1.0,1.0,3
1H,BACKBONE_B,FLATTENING,OPPOSING,936,0.4666001994017946,132,7.090909090909091,6.0,10.0,13.0,20
1H,BACKBONE_B,FLATTENING,NEUTRAL,99,0.04935194416749751,62,1.596774193548387,1.0,2.0,3.0,6
1H,BACKBONE_B,FLATTENING,TRANSITION,0,0.0,0,,,,,0
1H,BACKBONE_B,LOST,EXPANDING,182,0.6006600660066007,25,7.28,5.0,10.0,11.600000000000001,33
1H,BACKBONE_B,LOST,CONTRACTING,1,0.0033003300330033004,1,1.0,1.0,1.0,1.0,1
1H,BACKBONE_B,LOST,OPPOSING,88,0.29042904290429045,24,3.6666666666666665,3.0,5.0,8.0,12
1H,BACKBONE_B,LOST,NEUTRAL,32,0.10561056105610561,9,3.5555555555555554,4.0,5.0,5.2,6
1H,BACKBONE_B,LOST,TRANSITION,0,0.0,0,,,,,0
1H,BACKBONE_C,ACTIVE,EXPANDING,4604,0.43826749167063306,327,14.079510703363914,11.0,19.0,32.400000000000034,66
1H,BACKBONE_C,ACTIVE,CONTRACTING,1778,0.1692527367920038,493,3.606490872210953,2.0,4.0,8.0,31
1H,BACKBONE_C,ACTIVE,OPPOSING,3109,0.29595430747263207,310,10.029032258064516,7.0,15.0,22.0,50
1H,BACKBONE_C,ACTIVE,NEUTRAL,1014,0.09652546406473109,495,2.0484848484848484,1.0,2.0,4.0,12
1H,BACKBONE_C,ACTIVE,TRANSITION,0,0.0,0,,,,,0
1H,BACKBONE_C,FLATTENING,EXPANDING,945,0.4916753381893861,133,7.105263157894737,7.0,10.0,11.799999999999997,16
1H,BACKBONE_C,FLATTENING,CONTRACTING,20,0.01040582726326743,19,1.0526315789473684,1.0,1.0,1.0,2
1H,BACKBONE_C,FLATTENING,OPPOSING,860,0.4474505723204995,132,6.515151515151516,6.0,10.0,12.0,20
1H,BACKBONE_C,FLATTENING,NEUTRAL,97,0.050468262226847034,62,1.564516129032258,1.0,2.0,3.0,6
1H,BACKBONE_C,FLATTENING,TRANSITION,0,0.0,0,,,,,0
1H,BACKBONE_C,LOST,EXPANDING,214,0.6858974358974359,23,9.304347826086957,6.0,11.0,15.8,46
1H,BACKBONE_C,LOST,CONTRACTING,1,0.003205128205128205,1,1.0,1.0,1.0,1.0,1
1H,BACKBONE_C,LOST,OPPOSING,65,0.20833333333333334,17,3.823529411764706,3.0,6.0,7.4,10
1H,BACKBONE_C,LOST,NEUTRAL,32,0.10256410256410256,10,3.2,3.0,5.0,5.0,5
1H,BACKBONE_C,LOST,TRANSITION,0,0.0,0,,,,,0
