from_relation,to_relation,transition_count,transition_probability,is_self_transition
ALIGNED_DOWN,ALIGNED_DOWN,5140,0.9918950212273253,True
ALIGNED_DOWN,ALIGNED_UP,0,0.0,False
ALIGNED_DOWN,LOWER_OPPOSES_PARENT,0,0.0,False
ALIGNED_DOWN,LOWER_TRANSITION,40,0.007719027402547279,False
ALIGNED_DOWN,PARENT_TRANSITION,2,0.00038595137012736397,False
ALIGNED_UP,ALIGNED_DOWN,0,0.0,False
ALIGNED_UP,ALIGNED_UP,3729,0.9930758988015979,True
ALIGNED_UP,LOWER_OPPOSES_PARENT,1,0.0002663115845539281,False
ALIGNED_UP,LOWER_TRANSITION,24,0.006391478029294274,False
ALIGNED_UP,PARENT_TRANSITION,1,0.0002663115845539281,False
LOWER_OPPOSES_PARENT,ALIGNED_DOWN,0,0.0,False
LOWER_OPPOSES_PARENT,ALIGNED_UP,0,0.0,False
LOWER_OPPOSES_PARENT,LOWER_OPPOSES_PARENT,2644,0.9760059062384644,True
LOWER_OPPOSES_PARENT,LOWER_TRANSITION,40,0.014765596160944998,False
LOWER_OPPOSES_PARENT,PARENT_TRANSITION,25,0.009228497600590625,False
LOWER_TRANSITION,ALIGNED_DOWN,28,0.05622489959839357,False
LOWER_TRANSITION,ALIGNED_UP,15,0.030120481927710843,False
LOWER_TRANSITION,LOWER_OPPOSES_PARENT,63,0.12650602409638553,False
LOWER_TRANSITION,LOWER_TRANSITION,392,0.7871485943775101,True
LOWER_TRANSITION,PARENT_TRANSITION,0,0.0,False
PARENT_TRANSITION,ALIGNED_DOWN,15,0.031512605042016806,False
PARENT_TRANSITION,ALIGNED_UP,11,0.023109243697478993,False
PARENT_TRANSITION,LOWER_OPPOSES_PARENT,0,0.0,False
PARENT_TRANSITION,LOWER_TRANSITION,2,0.004201680672268907,False
PARENT_TRANSITION,PARENT_TRANSITION,448,0.9411764705882353,True
