parameter_factor,margin_threshold_atr,support_count,detection_overlap_with_factor_1_0,control_rank_contrast,control_contrast_direction,diagnostic_reduction,verdict_stability,actual_detector_run
0.8,0.0,472,0.78178,0.222458,POSITIVE,73,STABLE,1
0.8,0.1,472,0.78178,0.222458,POSITIVE,73,STABLE,1
0.8,0.2,472,0.78178,0.222458,POSITIVE,73,STABLE,1
0.8,0.3,472,0.78178,0.222458,POSITIVE,73,STABLE,1
1.0,0.0,369,1.0,0.219512,POSITIVE,56,STABLE,1
1.0,0.1,369,1.0,0.219512,POSITIVE,56,STABLE,1
1.0,0.2,369,1.0,0.219512,POSITIVE,56,STABLE,1
1.0,0.3,369,1.0,0.219512,POSITIVE,56,STABLE,1
1.2,0.0,277,0.750678,0.292419,POSITIVE,41,STABLE,1
1.2,0.1,277,0.750678,0.292419,POSITIVE,41,STABLE,1
1.2,0.2,277,0.750678,0.292419,POSITIVE,41,STABLE,1
1.2,0.3,277,0.750678,0.292419,POSITIVE,41,STABLE,1
