mapping,factor,representation,actual_detector_run,source_support,valid_support,invalid_support,age_entropy,unique_ages,factor_stability,direction_stability,chronological_third_stability,selection
15m->1H,1.2,FIXED_8,1,1741,1741,0,-0.00000000,1,REPORTED_FROZEN,REPORTED,REPORTED,NONE
15m->1H,1.2,DIRECTION_RUN,1,1741,1741,0,2.24459310,12,REPORTED_FROZEN,REPORTED,REPORTED,NONE
15m->1H,1.2,ATR_ORIGIN,1,1741,1736,5,2.61823706,18,REPORTED_FROZEN,REPORTED,REPORTED,NONE
15m->1H,1.2,CONFIRMED_DIRECTION_CHANGE,1,1741,1737,4,3.32280670,23,REPORTED_FROZEN,REPORTED,REPORTED,NONE
15m->1H,1.2,HYBRID_ORIGIN,1,1741,1736,5,1.25848417,5,REPORTED_FROZEN,REPORTED,REPORTED,NONE
5m->15m,1.2,FIXED_8,1,7511,7511,0,-0.00000000,1,REPORTED_FROZEN,REPORTED,REPORTED,NONE
5m->15m,1.2,DIRECTION_RUN,1,7511,7511,0,2.28452327,14,REPORTED_FROZEN,REPORTED,REPORTED,NONE
5m->15m,1.2,ATR_ORIGIN,1,7511,7495,16,2.57100414,25,REPORTED_FROZEN,REPORTED,REPORTED,NONE
5m->15m,1.2,CONFIRMED_DIRECTION_CHANGE,1,7511,7506,5,3.40470540,28,REPORTED_FROZEN,REPORTED,REPORTED,NONE
5m->15m,1.2,HYBRID_ORIGIN,1,7511,7495,16,1.27759844,6,REPORTED_FROZEN,REPORTED,REPORTED,NONE
3m->15m,1.2,FIXED_8,1,7511,7511,0,-0.00000000,1,REPORTED_FROZEN,REPORTED,REPORTED,NONE
3m->15m,1.2,DIRECTION_RUN,1,7511,7511,0,2.28452327,14,REPORTED_FROZEN,REPORTED,REPORTED,NONE
3m->15m,1.2,ATR_ORIGIN,1,7511,7495,16,2.57100414,25,REPORTED_FROZEN,REPORTED,REPORTED,NONE
3m->15m,1.2,CONFIRMED_DIRECTION_CHANGE,1,7511,7506,5,3.40470540,28,REPORTED_FROZEN,REPORTED,REPORTED,NONE
3m->15m,1.2,HYBRID_ORIGIN,1,7511,7495,16,1.27759844,6,REPORTED_FROZEN,REPORTED,REPORTED,NONE
